éûä‘,HMDxç¿ïW,HMDyç¿ïW,HMDzç¿ïW
386,-0.04801592,1.371356,0.597809
387,-0.04800418,1.371325,0.5978442
388,-0.04801652,1.371279,0.5979141
389,-0.0480192,1.371269,0.5979463
390,-0.04801235,1.371264,0.5980257
391,-0.04802945,1.371264,0.5981115
392,-0.04799464,1.371248,0.5981275
393,-0.04798776,1.371218,0.5981377
394,-0.04799187,1.371185,0.598184
395,-0.04802722,1.371186,0.5981821
396,-0.04803655,1.371169,0.5982393
397,-0.0480305,1.371172,0.598308
398,-0.04804277,1.371179,0.5983773
399,-0.04807425,1.371135,0.5984904
400,-0.0480755,1.371197,0.5985092
401,-0.04808816,1.37124,0.5986034
402,-0.04806241,1.371234,0.5988082
403,-0.04807821,1.371242,0.5989043
404,-0.04804689,1.371264,0.5990311
405,-0.04806212,1.37129,0.5991205
406,-0.04806128,1.371325,0.5992025
407,-0.04807863,1.371365,0.5993196
408,-0.04805249,1.371347,0.5994231
409,-0.04805669,1.371342,0.599527
410,-0.0481019,1.371369,0.599588
411,-0.04806322,1.371391,0.5996662
412,-0.04809353,1.371378,0.5997828
413,-0.04803273,1.371286,0.5999433
414,-0.04804531,1.37127,0.6000742
415,-0.04805401,1.371243,0.6001862
416,-0.04806361,1.371196,0.6002856
417,-0.04805726,1.371126,0.6003774
418,-0.04806787,1.37104,0.6005186
419,-0.04804787,1.370993,0.6006583
420,-0.04806089,1.370966,0.6007205
421,-0.04805166,1.37092,0.6008378
422,-0.04812562,1.370916,0.6008683
423,-0.04811534,1.370905,0.6009873
424,-0.04809761,1.370868,0.6011051
425,-0.04805601,1.370888,0.6012338
426,-0.04806012,1.370935,0.6012696
427,-0.0480794,1.370947,0.6013769
428,-0.0480774,1.370945,0.6014804
429,-0.04809543,1.370922,0.6015481
430,-0.04807875,1.370921,0.6016532
431,-0.04806331,1.370952,0.6017236
432,-0.04803815,1.370935,0.601792
433,-0.0480144,1.370976,0.6017977
434,-0.04798487,1.37103,0.6018678
435,-0.04792839,1.371012,0.601992
436,-0.04785028,1.371063,0.6021584
437,-0.04781955,1.371079,0.6021959
438,-0.04778275,1.371053,0.602337
439,-0.0477635,1.37106,0.6024467
440,-0.04777139,1.371089,0.6025351
441,-0.04775953,1.3711,0.6026784
442,-0.04775032,1.371063,0.6028918
443,-0.04779032,1.371006,0.6029798
444,-0.04781169,1.370993,0.6030461
445,-0.04781324,1.370894,0.6031524
446,-0.04780862,1.370835,0.6032623
447,-0.04779911,1.37079,0.6033112
448,-0.04780558,1.370731,0.6034023
449,-0.04781824,1.370738,0.6035422
450,-0.04784316,1.370705,0.6036402
451,-0.04788464,1.370656,0.6037334
452,-0.04794151,1.370632,0.6038526
453,-0.04799649,1.370569,0.6039132
454,-0.04801002,1.370484,0.6040245
455,-0.04805201,1.370455,0.604097
456,-0.04809776,1.370433,0.6042346
457,-0.04815796,1.370404,0.6042899
458,-0.04821861,1.370401,0.6043311
459,-0.04830953,1.370463,0.6044
460,-0.04839468,1.370475,0.6044627
461,-0.04849234,1.370486,0.6045564
462,-0.04859212,1.370488,0.6046075
463,-0.04862019,1.370458,0.6046945
464,-0.0487045,1.370458,0.6047443
465,-0.04877889,1.370483,0.6047319
466,-0.04887259,1.370494,0.6047693
467,-0.04894045,1.370474,0.6048247
468,-0.04898685,1.370515,0.6048757
469,-0.0490433,1.370546,0.6049105
470,-0.0491243,1.370593,0.6049179
471,-0.04918545,1.370608,0.6049434
472,-0.04928371,1.370652,0.6049722
473,-0.0493328,1.370634,0.6049563
474,-0.04945344,1.370618,0.6049863
475,-0.04950428,1.370623,0.6049865
476,-0.04955199,1.370628,0.6050276
477,-0.04962373,1.370632,0.6050555
478,-0.04967853,1.370642,0.6050845
479,-0.04971787,1.370644,0.6051315
480,-0.0497525,1.370635,0.605137
481,-0.04983005,1.370654,0.6051294
482,-0.0498625,1.370654,0.6051589
483,-0.04992223,1.370681,0.6051027
484,-0.0499658,1.370667,0.6051162
485,-0.04996842,1.37067,0.6050984
486,-0.04999718,1.370676,0.6050702
487,-0.05000967,1.370663,0.6050867
488,-0.05002803,1.370646,0.6050571
489,-0.05005276,1.370613,0.6050578
490,-0.05005121,1.370579,0.6051208
491,-0.05007315,1.370565,0.6051069
492,-0.0500918,1.370537,0.6050862
493,-0.05009669,1.370508,0.6050655
494,-0.05013987,1.370457,0.6050545
495,-0.0501605,1.370436,0.6050318
