Blink,time,count,tempblink
67.12184,6,68,0
67.23708,6,68,0
67.35011,6,68,0
67.46811,6,68,0
67.57941,6,68,0
67.6981,6,68,0
67.8174,6,68,0
67.93536,6,68,0
68.05077,6,68,0
68.16125,6,69,0
68.26419,6,69,0
68.38201,6,69,0
68.49444,6,69,0
68.61058,6,69,0
68.7288,6,69,0
68.84344,6,69,0
68.9442,6,69,0
69.05687,6,69,0
69.17349,6,70,0
69.28761,6,70,0
69.4047,6,70,0
69.52215,6,70,0
69.63264,6,70,0
69.75181,6,70,0
69.86721,6,70,0
69.98388,6,70,0
70.09715,6,70,0
70.21437,6,71,0
70.32892,6,71,0
70.42935,6,71,0
70.54801,6,71,0
70.66734,6,71,0
70.78748,6,71,0
70.88783,6,71,0
71.00192,6,71,0
71.118,6,72,0
71.23865,6,72,0
71.3546,6,72,0
71.4725,6,72,0
71.57267,6,72,0
71.67532,6,72,0
71.7925,6,72,0
71.89572,6,72,0
72.01199,6,72,0
72.11254,6,73,0
72.2282,6,73,0
72.32873,6,73,0
72.4305,6,73,0
72.54964,6,73,0
72.66602,6,73,0
72.76612,6,73,0
72.87968,6,73,0
72.98214,6,73,0
73.08311,6,73,0
73.1833,6,74,0
73.28378,6,74,0
73.40347,6,74,0
73.52351,6,74,0
73.63878,6,74,0
73.75814,6,74,0
73.87581,7,74,1
73.99171,7,74,1
74.10936,7,74,1
74.22381,7,75,1
74.34172,7,75,1
74.44566,7,75,1
74.56242,7,75,1
74.68166,7,75,0
74.78306,7,75,0
74.89941,7,75,0
75.00421,7,75,0
75.10784,7,76,0
75.20978,7,76,0
75.31647,7,76,0
75.42384,7,76,0
75.52749,7,76,0
75.63023,7,76,0
75.73066,7,76,0
75.84872,7,76,0
75.96489,7,76,0
76.08273,7,76,0
76.2038,7,77,0
76.32354,7,77,0
76.43877,7,77,0
76.54047,7,77,0
76.65757,7,77,0
76.75917,7,77,0
76.87202,7,77,0
76.9866,7,77,0
77.10332,7,77,0
77.20469,7,78,0
77.30701,7,78,0
77.4086,7,78,0
77.51218,7,78,0
77.61536,7,78,0
77.71912,7,78,0
77.82499,7,78,0
77.94588,7,78,0
78.05096,7,78,0
78.16241,7,79,0
78.26871,7,79,0
78.37892,7,79,0
78.48299,7,79,0
78.58514,7,79,0
78.69073,7,79,0
78.79307,7,79,0
78.89598,7,79,0
79.00286,7,79,0
79.12173,7,80,0
79.2262,7,80,0
79.32762,7,80,0
79.4302,7,80,0
79.54999,7,80,0
79.65736,7,80,0
79.76829,7,80,0
79.87868,7,80,0
79.98048,7,80,0
80.09282,7,80,0
80.19986,7,81,0
80.30576,7,81,0
80.40712,7,81,0
80.51448,7,81,0
80.63239,7,81,0
80.73849,7,81,0
80.84602,7,81,0
80.95238,7,81,0
81.05443,7,81,0
81.16177,7,82,0
81.26751,7,82,0
81.37054,7,82,0
81.47083,7,82,0
81.57384,7,82,0
81.69278,7,82,0
81.79816,7,82,0
81.89973,7,82,0
82.00088,7,82,0
82.11963,7,83,0
82.22917,7,83,0
82.33404,7,83,0
82.44199,7,83,0
82.54648,7,83,0
82.65189,7,83,0
82.75933,7,83,0
82.86964,7,83,0
82.9745,7,83,0
83.08147,7,83,0
83.20258,7,84,0
83.30473,7,84,0
83.40671,7,84,0
83.5118,7,84,0
83.61713,7,84,0
83.72094,7,84,0
83.82166,7,84,0
83.94165,7,84,0
84.04698,7,84,0
84.16624,7,85,0
84.27056,7,85,0
84.37249,7,85,0
84.47591,7,85,0
84.58955,7,85,0
84.69463,7,85,0
84.80984,7,85,0
84.9301,7,85,0
85.033,7,85,0
85.13525,7,86,0
85.23685,7,86,0
85.34052,7,86,0
85.44585,7,86,0
85.55156,7,86,0
85.65459,7,86,0
85.7608,7,86,0
85.86688,7,86,0
85.97105,7,86,0
86.07386,7,86,0
86.17961,7,87,0
86.29156,7,87,0
86.3981,7,87,0
86.49939,7,87,0
86.60181,7,87,0
86.70665,7,87,0
86.808,7,87,0
86.90914,7,87,0
87.02479,7,87,0
87.13096,7,88,0
87.25151,7,88,0
87.35291,7,88,0
87.4549,7,88,0
87.55533,7,88,0
87.66083,7,88,0
87.76096,7,88,0
87.86993,7,88,0
87.97289,7,88,0
88.08107,7,88,0
88.18538,7,89,0
88.28671,7,89,0
88.38923,7,89,0
88.49993,7,89,0
88.60475,7,89,0
88.71214,7,89,0
88.81394,7,89,0
88.91685,7,89,0
89.01979,7,89,0
89.12504,7,90,0
89.24683,7,90,0
89.35159,7,90,0
89.45566,7,90,0
89.55811,7,90,0
89.66502,7,90,0
89.7728,7,90,0
89.89429,7,90,0
89.99947,7,90,0
90.10694,7,90,0
90.21311,7,91,0
90.32022,7,91,0
90.42577,7,91,0
90.53283,7,91,0
90.63898,7,91,0
90.74538,7,91,0
90.86475,7,91,0
90.98415,7,91,0
91.09924,7,91,0
91.21462,7,92,0
91.33344,7,92,0
91.44922,7,92,0
91.56458,7,92,0
91.68405,7,92,0
91.79832,7,92,0
91.9148,7,92,0
92.02975,7,92,0
92.1472,7,93,0
92.26311,7,93,0
92.3827,7,93,0
92.50041,7,93,0
92.6146,7,93,0
92.71931,7,93,0
92.82137,7,93,0
92.93475,7,93,0
93.05348,7,93,0
93.15384,7,94,0
93.27445,7,94,0
93.3952,7,94,0
93.49715,7,94,0
93.61758,7,94,0
93.71781,7,94,0
93.82001,7,94,0
93.92152,7,94,0
94.0379,7,94,0
94.15328,7,95,0
94.2661,7,95,0
94.36732,7,95,0
94.47916,7,95,0
94.58085,7,95,0
94.68816,7,95,0
94.78948,7,95,0
94.90408,7,95,0
95.01698,7,95,0
95.13083,7,96,0
95.24796,7,96,0
95.36565,7,96,0
95.48624,7,96,0
95.6024,7,96,0
95.71911,7,96,0
95.83447,8,96,1
95.94586,8,96,0
96.05882,8,96,0
96.17215,8,97,0
96.28016,8,97,0
96.3915,8,97,0
96.50573,8,97,0
96.62369,8,97,0
96.73828,8,97,0
96.85469,8,97,0
96.96967,8,97,0
97.08312,8,97,0
97.19871,8,98,0
97.29931,8,98,0
97.41186,8,98,0
97.52668,8,98,0
97.64148,8,98,0
97.75399,8,98,0
97.86723,8,98,0
97.97638,8,98,0
98.08839,8,98,0
98.1995,8,99,0
98.3159,8,99,0
98.4271,8,99,0
98.54269,8,99,0
98.65833,8,99,0
98.7733,8,99,0
98.88782,8,99,0
99.00401,8,99,0
99.12139,8,100,0
99.2366,8,100,0
99.35601,8,100,0
99.46452,8,100,0
99.57533,8,100,0
99.68167,8,100,0
99.79368,8,100,0
99.90545,8,100,0
100.0182,8,100,0
100.1305,8,101,0
100.2441,8,101,0
100.3537,8,101,0
100.4667,8,101,0
100.5754,8,101,0
100.6913,8,101,0
100.805,8,101,0
100.9155,8,101,0
101.0273,8,101,0
101.1386,8,102,0
101.2493,8,102,0
101.3614,8,102,0
101.4734,8,102,0
101.5839,8,102,0
101.696,8,102,0
101.8042,8,102,0
101.9201,8,102,0
102.0364,8,102,0
102.1368,8,103,0
102.2484,8,103,0
102.3601,8,103,0
102.4715,8,103,0
102.5856,8,103,0
102.6964,8,103,0
102.8061,8,103,0
102.9188,8,103,0
103.0306,8,103,0
103.1366,8,104,0
103.2454,8,104,0
103.3523,8,104,0
103.4585,8,104,0
103.5713,8,104,0
103.6793,8,104,0
103.7906,8,104,0
103.8973,8,104,0
104.0113,8,104,0
104.1197,8,105,0
104.2255,8,105,0
104.3391,8,105,0
104.4549,8,105,0
104.5616,8,105,0
104.6694,8,105,0
104.7808,8,105,0
104.8945,8,105,0
105.0095,8,105,0
105.1188,8,106,0
105.2268,8,106,0
105.3416,8,106,0
105.4543,8,106,0
105.5646,8,106,0
105.672,8,106,0
105.7883,8,106,0
105.9011,8,106,0
106.0101,8,106,0
106.1175,8,107,0
106.2297,8,107,0
106.3521,8,107,0
106.4675,8,107,0
106.5784,8,107,0
106.6867,8,107,0
106.7935,8,107,0
106.9103,8,107,0
107.0287,8,107,0
107.1293,8,108,
