time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftBlink,RightBlink,CombineFocusPoint X,CombineFocusPoint Y,CombineFocusPoint Z
285.0648,0.07954538,0.04418516,-0.2748116,-0.08598983,0.860494,0.7475085,130.3848,0,85.84908
285.5828,0.1279732,0.003017187,-0.2255638,-0.1484276,0.8981069,0.8300303,130.141,0,85.87733
286.0912,0.1161827,-0.05404603,-0.2381172,-0.1785735,0.7068045,0.7721079,130.0834,0.100001,85.94025
286.5984,-0.1653401,0.04029006,-0.5015088,-0.0378077,0.8468663,0.6287863,126.4699,0,85.99047
287.1001,0.08679807,0.1143153,-0.2266431,0.02378976,1,1,123.6403,0.1,86.13105
287.6213,0.01964498,0.1063989,-0.2802934,0.02552551,0.9761699,0.9867741,121,1.298239,85.79007
288.1365,-0.143318,0.09133893,-0.4800721,-0.00954175,1,1,121,0.7049217,84.02889
288.6437,0.08654642,0.0844146,-0.2087548,-0.01210248,1,1,121,1.219644,85.93362
289.1669,-0.2282383,0.09235597,-0.5662667,-0.00401473,0.91154,0.8941581,121,0.8442745,84.57247
289.6779,0.4664471,0.09045637,0.171429,-0.08500397,0.6505458,0.5912884,0,0,0
290.2012,-0.1682375,0.08235717,-0.4974756,-0.02288043,0.9769736,0.9652916,118.8958,0.1,81.89176
290.7172,0.08146572,0.0929051,-0.2351924,-0.01257741,1,1,116.3805,0.140191,83
291.2328,0.1423402,0.08839792,-0.1731311,-0.02965927,1,1,118.2221,0,86.10851
291.7429,-0.1209054,0.1005815,-0.4679911,-0.008589149,0.9635728,0.9392975,114.2811,0.1,82.77626
292.2533,0.1682959,0.1563394,-0.1355705,0.03847581,1,1,113.1571,0,87.26937
292.7597,-0.2329494,0.108732,-0.5836872,0.004035711,0.8564189,0.7365022,110.0777,0.1,82.56184
293.2762,0.2500609,0.09459305,-0.08181143,-0.02855825,1,1,110.8247,0,86.84306
293.7872,0.03541231,0.153073,-0.2102177,0.04836518,0.8240063,0.869823,0,0,0
294.2941,-0.06249696,0.1775243,-0.3917708,0.08531493,1,1,103.4833,0,85.59815
294.8076,0.1122202,0.1338699,-0.1915969,0.04101992,1,1,110.8567,0,91.98399
295.3159,0.1148729,0.1361164,-0.1887196,0.03466111,1,1,110.0243,0,91.67767
295.8239,-0.2511741,0.08668029,-0.592795,0.003098011,0.9918485,0.9805602,103.6826,0,93.41966
296.3404,0.2065673,0.02646196,-0.1094477,-0.09577394,1,1,112.4627,0.1391821,95
296.8594,0.07759094,0.1293805,-0.2358794,0.0321663,1,1,113.3486,0.1,94.61461
297.3643,-0.1105905,0.09239054,-0.4356256,-7.283688E-05,1,1,113.2526,0,98.39993
297.8702,0.3219802,0.04068273,0.005430698,-0.09162951,1,1,118.293,0,98.97587
298.3774,-0.3288539,0.04789507,-0.7059656,-0.03734696,0.9662756,0.7726724,119,0.8647227,98.99734
298.8877,0.00801909,-0.06304514,-0.369581,-0.1707253,1,1,118.086,0.1,99.76939
299.4117,0.02920115,0.1531284,-0.3292457,0.04362869,0.9424486,0.9952731,117.6717,0,99.30879
299.9326,-0.08782518,-0.01938081,-0.4807541,-0.0970962,1,1,118.0833,0,99.93158
300.4472,-0.01364332,-0.03627789,-0.4083515,-0.1283691,1,1,118.0808,0,99.96864
300.9548,-0.05146807,0.04594558,-0.4482753,-0.0148102,1,1,118.1106,0.2274884,99.96352
301.4596,-0.07234269,-0.01128721,-0.3011804,-0.1495831,0.3758553,0.5594413,0,0,0
301.9673,-0.1713319,0.0595932,-0.520748,-0.006538391,1,1,114.9806,0,97.81799
302.4727,0.2603159,-0.01135039,-0.0593074,-0.1198961,0.8757477,0.8156205,115.7339,0,102.3662
302.9966,0.09110975,0.05619097,-0.2120816,-0.03792036,1,1,117.9043,0,104.0238
303.5102,0.004783034,-0.1760228,0,0,0,0,0,0,0
304.0183,0.1711632,0.0598771,-0.1376503,-0.05688798,1,1,123.7706,0.1,102.6946
304.5341,-0.298218,0.07394046,-0.6742363,-0.01244092,0.9827517,0.8024596,122.5251,0,107.0368
305.0358,-0.05621552,0.1037436,-0.3865534,0.002193153,1,1,122.9503,0.1,108.2895
305.5487,0.07031095,0.1016644,-0.2420722,-0.01605356,1,1,126.0672,0.1,106.4387
306.0673,-0.07178861,0.1092739,-0.3970452,-5.888939E-05,1,1,126.4019,0,110.1165
306.5777,-0.1111726,0.1583722,-0.4477113,0.07916063,1,1,127,3.067665,112.0979
