éûä‘,HMDxç¿ïW,HMDyç¿ïW,HMDzç¿ïW
5.235581,-0.04799187,1.371185,0.598184
5.245262,-0.04802722,1.371186,0.5981821
5.256514,-0.04803655,1.371169,0.5982393
5.267689,-0.0480305,1.371172,0.598308
5.278376,-0.04804277,1.371179,0.5983773
5.290063,-0.04807425,1.371135,0.5984904
5.300728,-0.0480755,1.371197,0.5985092
5.311401,-0.04808816,1.37124,0.5986034
5.323722,-0.04806241,1.371234,0.5988082
5.334771,-0.04807821,1.371242,0.5989043
5.345242,-0.04804689,1.371264,0.5990311
5.356464,-0.04806212,1.37129,0.5991205
5.367805,-0.04806128,1.371325,0.5992025
5.378486,-0.04807863,1.371365,0.5993196
5.390096,-0.04805249,1.371347,0.5994231
5.400642,-0.04805669,1.371342,0.599527
5.410655,-0.0481019,1.371369,0.599588
5.423287,-0.04806322,1.371391,0.5996662
5.434084,-0.04809353,1.371378,0.5997828
5.444599,-0.04803273,1.371286,0.5999433
5.457072,-0.04804531,1.37127,0.6000742
5.468174,-0.04805401,1.371243,0.6001862
5.483953,-0.04806361,1.371196,0.6002856
5.495156,-0.04805726,1.371126,0.6003774
5.504818,-0.04806787,1.37104,0.6005186
5.514409,-0.04804787,1.370993,0.6006583
5.525517,-0.04806089,1.370966,0.6007205
5.534956,-0.04805166,1.37092,0.6008378
5.543893,-0.04812562,1.370916,0.6008683
5.556063,-0.04811534,1.370905,0.6009873
5.568551,-0.04809761,1.370868,0.6011051
5.578355,-0.04805601,1.370888,0.6012338
5.590421,-0.04806012,1.370935,0.6012696
5.601709,-0.0480794,1.370947,0.6013769
5.612031,-0.0480774,1.370945,0.6014804
5.623926,-0.04809543,1.370922,0.6015481
5.635336,-0.04807875,1.370921,0.6016532
5.645474,-0.04806331,1.370952,0.6017236
5.656897,-0.04803815,1.370935,0.601792
5.668942,-0.0480144,1.370976,0.6017977
5.679875,-0.04798487,1.37103,0.6018678
5.689956,-0.04792839,1.371012,0.601992
5.702045,-0.04785028,1.371063,0.6021584
5.712343,-0.04781955,1.371079,0.6021959
5.723645,-0.04778275,1.371053,0.602337
5.734317,-0.0477635,1.37106,0.6024467
5.745007,-0.04777139,1.371089,0.6025351
5.757627,-0.04775953,1.3711,0.6026784
5.768751,-0.04775032,1.371063,0.6028918
5.779533,-0.04779032,1.371006,0.6029798
5.790549,-0.04781169,1.370993,0.6030461
5.800502,-0.04781324,1.370894,0.6031524
5.812158,-0.04780862,1.370835,0.6032623
5.822674,-0.04779911,1.37079,0.6033112
5.833791,-0.04780558,1.370731,0.6034023
5.846062,-0.04781824,1.370738,0.6035422
5.857985,-0.04784316,1.370705,0.6036402
5.869768,-0.04788464,1.370656,0.6037334
5.881428,-0.04794151,1.370632,0.6038526
5.892069,-0.04799649,1.370569,0.6039132
5.902208,-0.04801002,1.370484,0.6040245
5.911798,-0.04805201,1.370455,0.604097
5.925727,-0.04809776,1.370433,0.6042346
5.935507,-0.04815796,1.370404,0.6042899
5.946184,-0.04821861,1.370401,0.6043311
5.958557,-0.04830953,1.370463,0.6044
5.969348,-0.04839468,1.370475,0.6044627
5.979755,-0.04849234,1.370486,0.6045564
5.991661,-0.04859212,1.370488,0.6046075
6.003855,-0.04862019,1.370458,0.6046945
6.013914,-0.0487045,1.370458,0.6047443
6.024806,-0.04877889,1.370483,0.6047319
6.037748,-0.04887259,1.370494,0.6047693
6.048003,-0.04894045,1.370474,0.6048247
6.059146,-0.04898685,1.370515,0.6048757
6.069751,-0.0490433,1.370546,0.6049105
6.081199,-0.0491243,1.370593,0.6049179
6.092725,-0.04918545,1.370608,0.6049434
6.104052,-0.04928371,1.370652,0.6049722
6.115085,-0.0493328,1.370634,0.6049563
6.125617,-0.04945344,1.370618,0.6049863
6.136858,-0.04950428,1.370623,0.6049865
6.147621,-0.04955199,1.370628,0.6050276
6.159456,-0.04962373,1.370632,0.6050555
6.17088,-0.04967853,1.370642,0.6050845
6.181733,-0.04971787,1.370644,0.6051315
6.192932,-0.0497525,1.370635,0.605137
6.203688,-0.04983005,1.370654,0.6051294
6.21389,-0.0498625,1.370654,0.6051589
6.225195,-0.04992223,1.370681,0.6051027
6.237495,-0.0499658,1.370667,0.6051162
6.247243,-0.04996842,1.37067,0.6050984
6.259242,-0.04999718,1.370676,0.6050702
6.270877,-0.05000967,1.370663,0.6050867
6.281046,-0.05002803,1.370646,0.6050571
6.299372,-0.05005276,1.370613,0.6050578
6.30883,-0.05005121,1.370579,0.6051208
6.318264,-0.05007315,1.370565,0.6051069
6.327558,-0.0500918,1.370537,0.6050862
6.338643,-0.05009669,1.370508,0.6050655
6.348822,-0.05013987,1.370457,0.6050545
6.358625,-0.0501605,1.370436,0.6050318
6.367332,-0.05018756,1.370392,0.6050876
6.376375,-0.05020326,1.370395,0.6051313
6.386626,-0.05020642,1.37041,0.6050934
6.397664,-0.05019987,1.370402,0.6050397
6.408361,-0.05020821,1.370381,0.6050268
6.419958,-0.05024233,1.370386,0.605033
6.430957,-0.0502561,1.370383,0.6049939
6.441926,-0.05026317,1.370407,0.6049813
6.453737,-0.05027518,1.370427,0.6049615
6.465901,-0.05027652,1.370457,0.6049095
6.476159,-0.05032983,1.370452,0.6048208
6.486739,-0.0503473,1.370452,0.6048039
6.49896,-0.05038339,1.370414,0.6048034
6.508641,-0.05040216,1.37039,0.6047529
6.520038,-0.05039296,1.370383,0.604642
6.531291,-0.05036798,1.37037,0.6045882
6.542338,-0.05037454,1.370388,0.6045786
6.553723,-0.05036545,1.370394,0.6045431
6.564326,-0.05038169,1.370389,0.6045266
6.575663,-0.05039185,1.370383,0.6045226
6.586559,-0.0503841,1.370375,0.6044976
6.596776,-0.05035064,1.370328,0.6044573
6.608215,-0.05033723,1.370332,0.6044317
6.619689,-0.05027491,1.370314,0.604431
6.630422,-0.05025348,1.370299,0.6043936
6.641872,-0.05024302,1.370294,0.6043924
6.652669,-0.05024222,1.370291,0.6043442
6.66391,-0.0502443,1.37027,0.6042925
6.675462,-0.05021146,1.37027,0.6042773
6.687032,-0.05022132,1.370264,0.6042868
6.69697,-0.05024743,1.370244,0.6042632
6.708763,-0.05022931,1.370259,0.6042413
6.720785,-0.05025703,1.370286,0.6041688
6.730955,-0.05022669,1.370283,0.6041666
6.742353,-0.05024064,1.370249,0.6040446
6.755395,-0.05022955,1.370221,0.6040334
6.76555,-0.05023709,1.370218,0.6040343
6.776549,-0.05021852,1.370196,0.6040007
6.789078,-0.05024269,1.370207,0.6039649
6.801537,-0.05026707,1.370185,0.6039199
6.8105,-0.05029833,1.37017,0.6039039
6.822087,-0.05034846,1.370118,0.6037909
6.833598,-0.05037192,1.370093,0.6037837
6.844553,-0.05036581,1.370067,0.6037947
6.855628,-0.05038285,1.370055,0.6037766
6.866726,-0.05039567,1.370091,0.6036798
6.878634,-0.05041301,1.370043,0.6036676
6.889732,-0.05041674,1.370042,0.6036414
6.901771,-0.05042484,1.370014,0.6036092
6.913229,-0.05042741,1.370018,0.6035777
6.924898,-0.05042717,1.370049,0.6035532
6.93597,-0.05045184,1.370062,0.6035806
6.946851,-0.0504742,1.370082,0.603562
6.958822,-0.0505082,1.3701,0.6035017
6.969735,-0.05052733,1.370124,0.6034905
6.979717,-0.05058143,1.370134,0.6034042
6.991555,-0.05060041,1.370171,0.6033791
7.002137,-0.05063024,1.37021,0.6033138
7.012775,-0.05064657,1.370244,0.6032761
7.024791,-0.05068144,1.37025,0.6033069
7.035915,-0.05065912,1.3703,0.6032864
7.046556,-0.05067381,1.370329,0.6032661
7.059003,-0.0506905,1.3704,0.6031896
7.068933,-0.05071506,1.37041,0.6031762
7.080068,-0.05071747,1.370416,0.603161
7.091169,-0.05073372,1.370415,0.6031626
7.102462,-0.05078349,1.370424,0.6031457
7.114345,-0.05081353,1.370392,0.6031557
7.124599,-0.05079401,1.370373,0.6031481
7.135393,-0.05084431,1.370352,0.6031395
7.146566,-0.05088443,1.370342,0.6031667
7.157823,-0.05086863,1.370344,0.6032542
7.169213,-0.05088913,1.370308,0.6033164
7.181736,-0.05090955,1.370299,0.603393
7.19239,-0.05093724,1.370264,0.6034666
7.2041,-0.0509319,1.370198,0.6035215
7.214437,-0.05095881,1.370151,0.6036156
7.225788,-0.0509482,1.370072,0.6036304
7.238508,-0.05092731,1.369995,0.6037089
7.2479,-0.05094272,1.369924,0.6037511
7.258006,-0.05094892,1.369852,0.603803
7.270662,-0.05095249,1.369795,0.6038529
7.282396,-0.05100879,1.36973,0.6038142
7.292155,-0.05101502,1.369709,0.6038555
7.304217,-0.05102,1.369668,0.6038519
7.313769,-0.05101186,1.369664,0.6039084
7.325406,-0.05098531,1.369651,0.6039034
7.337328,-0.05100468,1.36964,0.6039122
7.347296,-0.05098483,1.36964,0.6039506
7.358236,-0.05095497,1.369681,0.6039869
7.370383,-0.05091998,1.369712,0.6040434
7.38071,-0.05090854,1.369727,0.6040744
7.391859,-0.05087173,1.369759,0.6041366
7.403322,-0.05079654,1.36983,0.6042236
7.413125,-0.05074865,1.369874,0.604338
7.424402,-0.05071965,1.36989,0.6044854
