time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,PupilSize,LeftBlink,RightBlink
108,-0.1596935,0.300419,-0.0289104,0.1128278,4.035446,0.9989442,0.9759585
109,-0.2644554,0.2732074,-0.1243532,0.09333664,3.760178,1,1
110,-0.2528615,0.2686665,-0.1436051,0.1039217,3.213409,1,1
111,0.08404028,0.2316537,0.2053819,0.04612887,3.502228,1,1
112,-0.0501253,0.1375484,0.07453549,0.01923096,-1,0.4818596,0.5581475
113,-0.4277298,0.2552757,-0.2707266,0.1087881,3.634491,0.8643234,0.8622789
114,0.2089981,0.1995595,0.3612219,0.01531255,2.992874,1,1
115,-0.1971786,0.2236786,-0.06110227,0.02885604,3.152924,0.6558245,0.6252742
116,-0.216002,0.2466109,-0.08289939,0.06326979,3.6008,0.9282507,0.8773773
117,-0.06456614,0.1854527,0.05458021,0.01046646,3.448929,0.8741915,0.9169338
118,-0.1874824,0.2973718,-0.04997516,0.1169747,3.737564,1,1
119,-0.3793277,0.2029952,-0.254707,0.0538463,3.434128,0.9338352,0.9651532
120,-0.2949879,0.2351794,-0.1645364,0.07453942,3.541534,1,1
121,-0.005135596,0.2693672,0.1256528,0.09354705,3.674789,1,1
122,0.07565689,0.2355978,0.2089918,0.04086512,3.485596,1,1
123,-0.3402415,0.2507067,-0.1976164,0.1138132,3.7202,1,1
124,0.1412352,0.2071875,0.2664117,0.03361338,2.681137,0.8449309,0.8396534
125,-0.2241154,0.276085,-0.08352679,0.1154381,3.61319,1,1
126,0.1763288,0.1904174,0.3298656,0.06148034,1.935974,0.9746042,0.9663141
127,-0.160002,0.271144,-0.03084153,0.101862,3.926285,0.9943373,0.9998699
128,0.1202141,0.1676378,0.2432762,-0.01263607,2.982559,0.9791175,0.8603307
129,-0.1844242,0.2881187,-0.06768495,0.1087598,3.33609,0.9884264,0.8831366
130,0.1269844,0.1633891,0.2652857,-0.002907276,2.766541,0.7446714,0.900538
131,-0.2749234,0.2677699,-0.145501,0.1073347,3.64418,1,1
132,-0.01552123,0.3023262,0.1103234,0.1337354,3.229538,1,1
133,0.07384253,0.2452474,0.2117351,0.07036871,3.390808,1,1
134,-0.1242618,-0.1227748,0.1063329,-0.5430592,-1,0,0
135,0.07831073,0.2506417,0.2000355,0.06048942,3.152786,1,1
136,-0.1857145,0.2457073,-0.0702585,0.06627244,3.27684,0.9704078,0.8052179
137,-0.02738249,0.2285056,0.1015161,0.05112529,3.124619,0.9193608,0.9913282
138,0.1903058,0.2546225,0.3492258,0.04523623,2.719193,0.9711145,0.8443565
139,0.2144983,0.2071637,0.4002141,0.007061005,2.08197,0.8283697,0.6471221
140,0.017066,0.2671397,0.1538221,0.07285619,3.327225,1,1
141,0.05242765,0.04374677,-0.1104271,0.8340116,-1,0.231122,0.2867507
142,0.0006074905,0.2867733,0.1399786,0.0974344,3.65831,1,1
143,-0.2751047,0.3312601,-0.1358237,0.1625233,3.514359,1,1
144,-0.09509981,0.3234487,0.0358547,0.1438428,3.791855,1,1
145,-0.1310579,-0.07916224,0,0,-1,0.1840293,0
146,0.2486736,0.1891771,-0.07487458,0.06874692,-1,0.5270508,0.5795675
147,-0.2937315,0.2823552,-0.1733412,0.1112108,3.407974,1,1
148,0.03174591,0.279237,0.1601688,0.09105372,3.309998,1,1
149,-0.09929883,0.3023846,0.02992237,0.1057963,3.452377,1,1
150,0.06650305,0.1740086,0.2200632,0.006349325,3.131897,0.5835382,0.5612661
151,-0.5408374,0.1369525,-0.3461984,-0.006866097,-1,0.3320739,0.1117766
152,-0.317638,0.3074468,-0.1572857,0.1547896,3.215179,1,1
153,-0.09803116,0.24297,0.05614758,0.09997153,3.678665,0.9156058,0.939414
154,-0.2487675,0.2445999,-0.1167746,0.06237185,3.773453,1,1
155,-0.4653758,0.2802118,-0.3083303,0.09124345,4.289261,0.8086063,0.7845613
156,-0.2863529,0.2470679,-0.1279062,0.0871405,3.845627,0.9632045,0.7446892
157,-0.1139883,0.2842903,0.01533401,0.1064295,3.743271,1,1
158,-0.3501181,0.2531505,-0.1816345,0.1094166,3.288345,0.8761976,0.8435229
159,-0.2284059,0.06815088,-0.0739212,0.0261572,2.273697,0.6367173,0.5584579
160,-0.09150118,0.3017112,0.02929974,0.1128302,3.382599,1,1
161,-0.2283446,0.2537853,-0.09961814,0.07663131,3.275345,1,1
162,-0.2647468,0.2156031,-0.1323363,0.05216706,3.131714,1,1
163,-0.254284,0.2534882,-0.1140712,0.08148712,3.234894,1,1
164,0.1493164,0.1485876,0.3647187,-0.05181539,2.658859,0.8149882,0.785327
165,-0.4127092,0.2690686,-0.2852463,0.08217835,3.343475,0.9006234,0.7462768
166,-0.4761044,0.212231,-0.3448164,0.04211152,3.698196,0.8909502,0.7778546
168,-0.3269522,0.2438443,-0.1987828,0.07905191,3.558777,1,1
169,-0.2780657,0.2883211,-0.1474164,0.1002867,3.295532,1,1
170,-0.1309848,0.2560616,0.0002075434,0.0874157,3.813736,1,1
171,-0.3679004,0.2682282,-0.2510055,0.07499909,3.747009,0.9638287,0.8896996
172,0.1446683,0.2025107,0.3173541,0.06636691,2.200089,0.8758866,0.7210249
173,0.1403773,0.2131636,0.2669929,0.04844058,2.530792,1,1
174,-0.2597901,0.3253741,-0.1141183,0.1427895,3.534225,0.9325331,0.8588492
175,-0.1401445,0.2722812,0.005870461,0.09285736,3.729248,0.888651,0.8288338
176,-0.2995842,0.2103688,-0.1497182,0.02625549,3.513229,1,1
177,-0.07367891,0.4581682,0.05640638,0.3053038,2.868515,1,1
178,-0.2820109,0.2896704,-0.165778,0.1186354,3.143082,1,1
179,-0.1443322,0.2003755,-0.01691115,0.03653753,3.080185,0.7017325,0.8794112
180,0.2301198,0.2062228,0.4348929,-0.007256508,2.24379,0.603461,0.6579833
181,-0.3738651,0.2531741,-0.2422878,0.0965364,3.566711,1,1
182,-0.01380295,0.2461928,0.1041934,0.0746401,3.219238,1,1
183,-0.357919,0.2409878,-0.2265328,0.07721573,3.711777,1,1
184,-0.04141814,0.2955949,0.1599374,0.1031559,3.471466,1,1
185,-0.2277007,0.3534338,-0.1047058,0.1841896,3.826813,1,1
186,-0.04446417,0.2768358,0.09108281,0.110912,3.479553,1,1
187,0.06061566,0.2282386,0.1876541,0.03390956,3.351501,1,1
188,-0.216111,0.2412723,-0.07958585,0.07508105,3.554825,1,1
189,-0.04590708,0.2560814,0.08211315,0.07773817,3.312103,1,1
190,0.01537251,0.2349581,0.1317015,0.04866564,3.336212,1,1
191,-0.3290076,0.2020577,-0.169283,0.02453536,3.461807,0.6367463,0.4494066
192,-0.2354748,0.2876691,-0.1100284,0.1099123,3.398407,1,1
193,0.1221462,0.2203213,0.323496,0.07106066,2.320724,0.7815925,0.4588071
194,0.1072714,0.2636877,0.2660636,0.08013231,2.9104,1,1
195,-0.1343874,0.2845587,-0.007589281,0.09363264,3.800537,1,1
196,-0.269549,0.2627591,-0.1191422,0.1012576,3.414185,1,1
197,0.08339131,0.2342074,0.2160907,0.05750078,2.745682,1,1
198,-0.7039698,0.1665767,-0.5174749,0.04143834,-1,0.7199239,0.4050731
199,-0.3001052,0.2594135,-0.1814259,0.1020107,3.5634,0.9746678,0.8239069
200,0.09636688,0.2016847,0.2140902,0.02840042,3.048233,1,1
201,0.1618947,0.2074844,0.3209893,0.03270113,2.367569,1,1
202,0.06423688,0.2368098,0.2327719,0.05206817,3.646042,1,1
203,0.1501416,0.2126737,0.3083054,0.0617578,2.166626,1,1
204,-0.004430056,0.2820355,0.1449052,0.08873641,3.502274,1,1
205,0.05907321,0.2708849,0.1896932,0.08888924,3.247986,1,1
206,0.1471791,0.2485396,0.2724385,0.01659292,3.015427,1,1
207,0.04563129,0.3080692,0.1819687,0.09971642,3.488129,1,1
208,-0.1879162,0.2785858,-0.03213865,0.09787828,3.603348,1,1
209,-0.2956856,0.2048872,-0.1555351,0.05689502,3.236481,0.8269486,0.6336725
210,-0.04225904,0.303638,0.06761897,0.1156963,3.465805,1,1
211,0.1135646,0.1876265,0.2645774,0.02638763,2.463455,0.974304,0.9547787
212,-0.008124828,0.2843443,0.1043428,0.09927922,3.642654,1,1
213,-0.03200889,0.1589551,0.1044613,-0.001700401,3.30275,0.6833735,0.6271034
